job_title,salary_in_usd,company_size
1,76833,1
1,69741,1
1,90000,1
1,5707,2
1,103000,3
1,63831,3
1,76833,3
2,40189,2
2,127221,3
2,60000,3
3,190200,2
3,161342,2
3,137141,2
3,241000,2
3,159000,2
3,152500,2
3,240000,3
3,144000,3
3,152000,3
3,174000,3
3,54094,3
3,94665,3
4,51321,1
4,45760,1
4,76958,1
4,21669,1
4,62726,1
4,49268,1
4,105000,1
4,91237,1
4,62726,1
4,42197,1
4,9466,1
4,100000,1
4,82500,1
4,2859,1
4,5679,1
4,12901,1
4,87738,1
4,90000,1
4,16904,1
4,25532,1
4,48000,1
4,39916,2
4,38776,2
4,118000,2
4,138350,2
4,49646,2
4,80000,2
4,150000,2
4,119059,2
4,61467,2
4,33808,2
4,46809,2
4,4000,2
4,28399,2
4,77684,2
4,100000,2
4,130000,2
4,90000,2
4,136620,2
4,99360,2
4,117789,2
4,104702,2
4,146000,2
4,123000,2
4,65438,2
4,39263,2
4,165220,2
4,120160,2
4,95550,2
4,167000,2
4,123000,2
4,150000,2
4,211500,2
4,138600,2
4,170000,2
4,123000,2
4,180000,2
4,71982,2
4,45807,2
4,260000,2
4,180000,2
4,80000,2
4,18442,2
4,104890,2
4,140000,2
4,220000,2
4,140000,2
4,183228,2
4,91614,2
4,185100,2
4,200000,2
4,120000,2
4,230000,2
4,100000,2
4,100000,2
4,100000,2
4,165000,2
4,86703,2
4,69336,2
4,78000,2
4,141300,2
4,102100,2
4,176000,2
4,144000,2
4,205300,2
4,140400,2
4,140000,2
4,210000,2
4,140000,2
4,210000,2
4,140000,2
4,210000,2
4,140000,2
4,230000,2
4,150000,2
4,210000,2
4,160000,2
4,130000,2
4,79833,3
4,35735,3
4,40481,3
4,68428,3
4,105000,3
4,120000,3
4,412000,3
4,53192,3
4,29751,3
4,73000,3
4,50000,3
4,75774,3
4,13400,3
4,40038,3
4,90734,3
4,147000,3
4,37825,3
4,160000,3
4,90734,3
4,116914,3
4,56256,3
4,88654,3
4,135000,3
4,103691,3
4,165000,3
4,36643,3
4,115000,3
4,130000,3
4,58000,3
4,20171,3
4,109000,3
4,180000,3
4,120000,3
4,215300,3
4,158200,3
4,140400,3
4,215300,3
4,31615,3
4,35590,3
4,52396,3
4,40000,3
4,122346,3
4,135000,3
4,205300,3
4,140400,3
